"REF_DATE","GEO","DGUID","Type of instrument","Geographic region","Valuation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991-01","Canada","2016A000011124","Canadian bonds","All countries","Book value","Dollars","81","millions","6","v61913962","1.1.1.1","192608","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","United States","Book value","Dollars","81","millions","6","v61913963","1.1.2.1","59797","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","United Kingdom","Book value","Dollars","81","millions","6","v61913964","1.1.3.1","15409","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","Other European Union countries","Book value","Dollars","81","millions","6","v61913965","1.1.4.1","28938","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","Japan","Book value","Dollars","81","millions","6","v61913966","1.1.5.1","44647","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","Other Organisation for Economic Co-operation and Development (OECD) countries","Book value","Dollars","81","millions","6","v61913967","1.1.6.1","32922","","","","0"
"1991-01","Canada","2016A000011124","Canadian bonds","All other countries","Book value","Dollars","81","millions","6","v61913968","1.1.7.1","10896","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","All countries","Book value","Dollars","81","millions","6","v61913969","1.2.1.1","25794","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","United States","Book value","Dollars","81","millions","6","v61913970","1.2.2.1","9581","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","United Kingdom","Book value","Dollars","81","millions","6","v61913971","1.2.3.1","1404","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","Other European Union countries","Book value","Dollars","81","millions","6","v61913972","1.2.4.1","2345","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","Japan","Book value","Dollars","81","millions","6","v61913973","1.2.5.1","967","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","Other Organisation for Economic Co-operation and Development (OECD) countries","Book value","Dollars","81","millions","6","v61913974","1.2.6.1","4082","","","","0"
"1991-01","Canada","2016A000011124","Canadian money market instruments","All other countries","Book value","Dollars","81","millions","6","v61913975","1.2.7.1","7415","","","","0"
"1991-02","Canada","2016A000011124","Canadian bonds","All countries","Book value","Dollars","81","millions","6","v61913962","1.1.1.1","195049","","","","0"
"1991-02","Canada","2016A000011124","Canadian bonds","United States","Book value","Dollars","81","millions","6","v61913963","1.1.2.1","61289","","","","0"
"1991-02","Canada","2016A000011124","Canadian bonds","United Kingdom","Book value","Dollars","81","millions","6","v61913964","1.1.3.1","16688","","","","0"
